id,ed매장수,pk매장수,sb매장수,cb매장수,커피지수
안산 단원,24,4.0,2.0,0.0,0.07142857142857142
안산 단원구,3,2.0,3.0,0.0,0.6
안산 상록,13,1.0,1.0,0.0,0.07142857142857142
안산 상록구,2,0.0,1.0,0.0,0.5
안성,5,0.0,7.0,0.0,1.4
안양 동안,14,3.0,14.0,1.0,0.8823529411764706
안양 만안,9,5.0,4.0,1.0,0.35714285714285715
양구,1,0.0,0.0,0.0,0.0
양산,9,1.0,6.0,0.0,0.6
양양,2,0.0,0.0,0.0,0.0
양주,17,1.0,7.0,0.0,0.3888888888888889
양평,4,1.0,3.0,0.0,0.6
여수,17,3.0,8.0,0.0,0.4
여주,4,0.0,3.0,1.0,1.0
연천,1,0.0,0.0,1.0,1.0
영광,3,0.0,0.0,0.0,0.0
영덕,2,0.0,1.0,1.0,1.0
영동,1,1.0,0.0,0.0,0.0
영암,1,1.0,0.0,0.0,0.0
영월,1,0.0,0.0,0.0,0.0
영주,2,1.0,0.0,0.0,0.0
영천,2,0.0,0.0,0.0,0.0
예산,5,1.0,1.0,0.0,0.16666666666666666
예천,1,1.0,0.0,0.0,0.0
오산,8,2.0,6.0,0.0,0.6
옥천,1,1.0,0.0,0.0,0.0
완도,1,0.0,0.0,0.0,0.0
완주,4,0.0,0.0,0.0,0.0
용인 기흥,20,9.0,12.0,1.0,0.4482758620689655
용인 기흥구,2,0.0,1.0,0.0,0.5
용인 수지,14,4.0,11.0,1.0,0.6666666666666666
용인 처인,9,1.0,4.0,0.0,0.4
울산 남구,30,6.0,14.0,1.0,0.4166666666666667
울산 동구,7,1.0,2.0,0.0,0.25
울산 북구,18,2.0,5.0,0.0,0.25
울산 울주,10,0.0,1.0,0.0,0.1
울산 중구,12,0.0,6.0,1.0,0.5833333333333334
울진,3,1.0,0.0,1.0,0.25
원주,15,4.0,8.0,1.0,0.47368421052631576
음성,3,0.0,2.0,0.0,0.6666666666666666
의왕,5,3.0,2.0,0.0,0.25
의정부,24,4.0,10.0,0.0,0.35714285714285715
이천,9,1.0,8.0,1.0,0.9
익산,8,3.0,4.0,0.0,0.36363636363636365
인제,3,0.0,2.0,0.0,0.6666666666666666
인천 강화,1,1.0,1.0,0.0,0.5
인천 계양,13,7.0,3.0,0.0,0.15
인천 남동,28,11.0,11.0,1.0,0.3076923076923077
인천 동구,1,1.0,2.0,0.0,1.0
인천 미추홀,11,3.0,8.0,0.0,0.5714285714285714
인천 부평,22,6.0,9.0,1.0,0.35714285714285715
인천 서구,22,11.0,9.0,0.0,0.2727272727272727
인천 연수,15,6.0,14.0,5.0,0.9047619047619048
인천 옹진,2,0.0,1.0,0.0,0.5
인천 중구,12,6.0,5.0,2.0,0.3888888888888889
임실,1,0.0,1.0,0.0,1.0
장성,1,0.0,0.0,0.0,0.0
장수,1,0.0,0.0,0.0,0.0
장흥,1,0.0,0.0,0.0,0.0
전주 덕진,18,5.0,4.0,0.0,0.17391304347826086
전주 완산,14,4.0,11.0,1.0,0.6666666666666666
정선,1,0.0,0.0,0.0,0.0
정읍,2,2.0,0.0,0.0,0.0
제주,9,6.0,15.0,2.0,1.1333333333333333
제천,8,0.0,1.0,3.0,0.5
증평,3,1.0,1.0,0.0,0.25
진안,1,1.0,0.0,0.0,0.0
진주,18,8.0,7.0,1.0,0.3076923076923077
진천,4,1.0,0.0,0.0,0.0
창녕,2,0.0,1.0,0.0,0.5
창원 성산,12,1.0,7.0,1.0,0.6153846153846154
창원 의창,11,1.0,6.0,2.0,0.6666666666666666
창원 진해,6,0.0,2.0,1.0,0.5
창원 합포,7,1.0,3.0,1.0,0.5
창원 회원,3,0.0,5.0,0.0,1.6666666666666667
천안 동남,8,4.0,6.0,1.0,0.5833333333333334
천안 서북,14,8.0,12.0,0.0,0.5454545454545454
철원,2,0.0,0.0,0.0,0.0
청도,1,0.0,1.0,0.0,1.0
청송,1,0.0,1.0,0.0,1.0
청주 상당,7,2.0,4.0,1.0,0.5555555555555556
청주 서원,6,4.0,4.0,0.0,0.4
청주 청원,8,1.0,3.0,0.0,0.3333333333333333
청주 흥덕,17,5.0,8.0,1.0,0.4090909090909091
춘천,26,2.0,11.0,0.0,0.39285714285714285
충주,7,1.0,5.0,0.0,0.625
칠곡,5,1.0,0.0,0.0,0.0
태백,1,0.0,1.0,0.0,1.0
태안,2,1.0,0.0,0.0,0.0
통영,1,3.0,1.0,1.0,0.5
파주,20,8.0,8.0,1.0,0.32142857142857145
평창,2,0.0,3.0,0.0,1.5
평택,18,7.0,8.0,2.0,0.4
포천,8,1.0,5.0,0.0,0.5555555555555556
포항 남구,5,2.0,12.0,0.0,1.7142857142857142
포항 북구,13,2.0,6.0,1.0,0.4666666666666667
하남,25,2.0,10.0,1.0,0.4074074074074074
함안,1,0.0,0.0,2.0,2.0
함양,1,1.0,1.0,0.0,0.5
합천,1,0.0,0.0,0.0,0.0
해남,2,0.0,0.0,1.0,0.5
홍성,1,2.0,0.0,0.0,0.0
홍천,3,1.0,2.0,0.0,0.5
화성,28,10.0,16.0,5.0,0.5526315789473685
화순,1,1.0,0.0,0.0,0.0
화천,1,1.0,0.0,0.0,0.0
횡성,1,0.0,1.0,0.0,1.0
