내용,태그,일시,좋아요,장소
#응답하라 #2021지구별약수터 오늘은 오라3동 #제주특별자치도복지이음마루#사회복지사 님들께서 단체로 응답해주셨습니다무인카페로 운영됩니다건강한 사회를 위해 우리 서로를 #이음 해줄#복지이음마루 자주 이용해야겠습니다. 내부 카페공간도 상쾌합니다#제주도 #환경 #착한가게 #카페여행 #지구별공정여행 #제주여행 #환경캠페인 #작은것이아름답다,"['#응답하라', '#2021지구별약수터', '#제주특별자치도복지이음마루', '#사회복지사', '#이음', '#복지이음마루', '#제주도', '#환경', '#착한가게', '#카페여행', '#지구별공정여행', '#제주여행', '#환경캠페인', '#작은것이아름답다']",2021-08-19,4,
"거리두기 4단계 방침 준수하며 기생화산채로는 제주도에서 최대규모라는 군산오름에 올랐어요! 한라산부터 마라도, 산방산까지 아름다운 파노라마뷰가 펼쳐지는 곳! 쓰레기도 줍고 하이킹도 하고 아름다운 경치는 덤으로!! 👍😀 #함께지켜요 #아름다운제주 #오르멍봉그멍 #노지문화탐험대 #서귀포노지문화 #오봉회 #플로깅 #plogging #문화도시서귀포 #서귀포노지문화탐험대 #서귀포시문화도시센터 #cleantrails #만보걷기 #생태지속가능성 #올레길 #오름 #제주오름 #클린트레일 #친환경하이킹 #함께해요 #쓰레기되가져오기 #제주여행 #제주라이프 #제주올레 #쓰줍러 #제주쓰봉 #친환경운동 #군산오름 Gunsan Volcanic Cone","['#함께지켜요', '#아름다운제주', '#오르멍봉그멍', '#노지문화탐험대', '#서귀포노지문화', '#오봉회', '#플로깅', '#plogging', '#문화도시서귀포', '#서귀포노지문화탐험대', '#서귀포시문화도시센터', '#cleantrails', '#만보걷기', '#생태지속가능성', '#올레길', '#오름', '#제주오름', '#클린트레일', '#친환경하이킹', '#함께해요', '#쓰레기되가져오기', '#제주여행', '#제주라이프', '#제주올레', '#쓰줍러', '#제주쓰봉', '#친환경운동', '#군산오름']",2021-08-19,0,군산오름
"제주는 4단계 🥲제주 바다 보며 힐링하세요 🌊이 시국 제주 여행, 트립소다의 안심 차량을 이용해보세요 🤝",[],2021-08-19,8,
❤ 제주여행😁😁 딸이랑 오빠생일 맞쳐서 여행다녀오기🥳🥳 몸이 힘들어서 가기싫어지만....... 가치 따라가기만 하라는 말에 따라갔다  가서는 컨디션 다행이 좋아서 엄청먹구왔내ㅎ  ㅎ   진짜 몇개월 음식 못먹은거  다먹고ㅎㅎㅎㅎ  제주가 나한테 맞다구 살고싶다구 궁시렁궁시  렁ㅎㅎㅎㅎㅎㅎㅎ  호텔에 풍선 배달해놓고 딸내미 너무좋아한  다🙊🙈😍🥰 사진 계속 찍어준 오빠 고마워😜😜  ... #제주여행#태교여행#임산부는힘들다 #입덧은언제끝날까#매일매일토덧 #메종글래드호텔#헬로제주벌룬#풍선넘이쁨 #가족스타그램#딸스타그램#딸사랑해❤,"['#제주여행', '#태교여행', '#임산부는힘들다', '#입덧은언제끝날까', '#매일매일토덧', '#메종글래드호텔', '#헬로제주벌룬', '#풍선넘이쁨', '#가족스타그램', '#딸스타그램', '#딸사랑해❤']",2021-08-19,11,
ㅋㅋ#돌아주방 #날씨가좋으면#찾아오세요 #굿나잇민박#제주#jeju#애월#하가리#보름살기#한달살기#애월숙소#애월민박#제주숙소#제주민박#제주여행,"['#돌아주방', '#날씨가좋으면', '#찾아오세요', '#굿나잇민박', '#제주', '#jeju', '#애월', '#하가리', '#보름살기', '#한달살기', '#애월숙소', '#애월민박', '#제주숙소', '#제주민박', '#제주여행']",2021-08-19,3,서귀포시 대정읍
그리운 그날의 시간들...#a6400#a6400sony #sel35f18...#제주도여행 #제주여행 #제주도 #제주카페 #제주앓이 #사진 #사진소통 #사진에미치다 #사진스타그램 #사진그램 #사진보정 #사진연습 #소니이미지갤러리 #소니a6400 #스냅사진 #카페스냅 #photo #photography #photograph #photogram #jejuisland #jejutravel #jejucafe #sonyimagegallery,"['#a6400', '#a6400sony', '#sel35f18...', '#제주도여행', '#제주여행', '#제주도', '#제주카페', '#제주앓이', '#사진', '#사진소통', '#사진에미치다', '#사진스타그램', '#사진그램', '#사진보정', '#사진연습', '#소니이미지갤러리', '#소니a6400', '#스냅사진', '#카페스냅', '#photo', '#photography', '#photograph', '#photogram', '#jejuisland', '#jejutravel', '#jejucafe', '#sonyimagegallery']",2021-08-19,12,푸른섬 제주도
__#미미식당 _제주 🏝애월읍 하귀2리 읍내(초입)에 위치해있다겨울에도 먹어보고 여름에도 먹어봤는데사계절 맛이 꾸준하다. 예전에 해장으로 먹었던 부드러운 몸국도 좋았고 갈비탕도 아주 맛있음🤞이번에는 도가니탕 설렁탕 주문해서 전날 마신 술 싹 날려버림💦#도가니탕찐하고 약간 꼬릿한 사골육수에 쫀쫀하고 보들보들 탱탱한 도가니가 완전 푸짐하게 들어있어서 한그릇 뚝딱 하고나면 도가니가 튼튼해지는 느낌이고 (파도 하투하투💚)#설렁탕역시 진하고 뽀얀 사골육수에 크고 도톰한 고기가 꽤나 많이 들어있어서 후추 톡톡소면과 함께 밥한그릇 말아서 후루룩 먹으면속이 든든 해장 완료바로 부쳐서 내어주시는 부추전이 별미다김치나 부추무침도 맛이 깔끔하고 좋은편미미식당바로옆집 전라도 전주에서 오신 이모님이 운영하시는 하귀리30번가 이집도 맛있음👍📍미미식당 _애월📍제주 제주시 애월읍 하귀로 30📍제주 제주시 애월읍 하귀2리 1911-1📍매일 08:00- 20:00   브레이크 타임 15:00-17:00📍☎️064-713-7907#제주여행#제주맛집 #하귀맛집 #하귀2리 #애월맛집 #애월해안도로 #애월밥집#미미식당제주 #제주도 #제주여행 #해장스타그램 #해장엔해장국#먹스타그램 #술스타그램 #한라산소주 #철이와함께 ❤,"['#미미식당', '#도가니탕찐하고', '#설렁탕역시', '#제주여행', '#제주맛집', '#하귀맛집', '#하귀2리', '#애월맛집', '#애월해안도로', '#애월밥집', '#미미식당제주', '#제주도', '#제주여행', '#해장스타그램', '#해장엔해장국', '#먹스타그램', '#술스타그램', '#한라산소주', '#철이와함께']",2021-08-19,62,미미식당
대형카페가 오픈했다는 소식에 부랴부랴 내달려서 도착을 똭!! 으리으리한 사이즈에 입벌리고 두리번두리번 오랜만에 귀호강하며 감탄사 백번하고 잠자고 있던 승부욕을 끄집어 내본다#오드싱,['#오드싱'],2021-08-19,18,오드싱
아침부터전복!!!! 넘나맛있숨댜#첫줄 #제주여행 #제주도 #제주맛집 #전복밥 #제주아침 #여행 #일상 #제주도여행 #명진전복,"['#첫줄', '#제주여행', '#제주도', '#제주맛집', '#전복밥', '#제주아침', '#여행', '#일상', '#제주도여행', '#명진전복']",2021-08-19,0,
새로운 레시피의 아이스크림 버블바🍦한 입 퍼먹고픈 비쥬얼😝아이스크림 버블바는 새로운 레시피로진행합니다😍,[],2021-08-19,14,제주 스위스마을 - Swiss Village
아침부터 🏊🏊‍♀️ ㅎㅎ엄마는 더자고 싶고..피곤하지만..힘을 내볼께 😆#엄마늙음#신화관 스카이풀#제주여행#여름방학여행중 #신화월드워터파크,"['#엄마늙음', '#신화관', '#제주여행', '#여름방학여행중', '#신화월드워터파크']",2021-08-19,10,
"...1,2-초집중3-건방4,5-숨막히는 뒷태~ㅋㅋ#관람자세보소 #주아마마 #baby #babygirl #16개월아기 #귀엽쥐 #사랑스럽쥐 #쥐띠아기 #트위티 #트위티두상 #두상미인 #두짤✌🏻️ #10년만에둘째 #10년만에육아다시시작#제주아쿠아플라넷 #제주도 #제주여행 #아기와제주도","['#관람자세보소', '#주아마마', '#baby', '#babygirl', '#16개월아기', '#귀엽쥐', '#사랑스럽쥐', '#쥐띠아기', '#트위티', '#트위티두상', '#두상미인', '#두짤✌🏻️', '#10년만에둘째', '#10년만에육아다시시작', '#제주아쿠아플라넷', '#제주도', '#제주여행', '#아기와제주도']",2021-08-19,11,
#제주한달살이 #제주일상..#사이분식맛난떡볶이와 순대그중에서나는순대~~~이게 맛나네~~..떡볶이는 남편과 나는 한점먹기쉽지않다.너네  떡볶이 안먹는다며....#livinginjejuislandforamonth#여행일상 #제주살이#제주시 #협재 #협재해수욕장 #jeju #제주바다 #제주도민맛집#제주맛집 #협재맛집#일상 #일상소통#제주도맛집 #today#제주여행 #협재일상#제주 #jeju #jeju일상#제주도 #제주한달살이일상#day#daily#데일리#일상공유 #today#좋아요 #팔로우,"['#제주한달살이', '#제주일상..', '#사이분식맛난떡볶이와', '#livinginjejuislandforamonth', '#여행일상', '#제주살이', '#제주시', '#협재', '#협재해수욕장', '#jeju', '#제주바다', '#제주도민맛집', '#제주맛집', '#협재맛집', '#일상', '#일상소통', '#제주도맛집', '#today', '#제주여행', '#협재일상', '#제주', '#jeju', '#jeju일상', '#제주도', '#제주한달살이일상', '#day', '#daily', '#데일리', '#일상공유', '#today', '#좋아요', '#팔로우']",2021-08-19,7,
".#위치📍제주특별자치도 구좌읍 김녕로 3길 6-11📍#김녕해수욕장 #김녕해변 #김녕바다 가깝습니다:)숙소 안쪽 마당 내에 주차장이 있어서 1대 주차가능합니다.여러대인 경요, 숙소 근처 공영주차장을 이용해주세요🙏블로그 내 맛집, 근처 볼거리 등 많은 정보가 담겨있으니많은 참고 부탁드립니다🍻🍤🍩감사합니다🧡✔️ 위치 : 제주시 김녕로3길 6-11✔️ 문의 : dm / 카카오톡 '느랏 김녕아치'","['#위치📍제주특별자치도', '#김녕해수욕장', '#김녕해변', '#김녕바다']",2021-08-19,62,
🏝 제주도 현장답사후 친구 펜션에서 하루묵기@goyo_jeju_...............#제주도 #제주여행 #고요제주 #제주펜션 #불멍 #제주도리모델링 #제주도맛집 #제주도카페 #제주도숙소 #제주도게스트하우스,"['#제주도', '#제주여행', '#고요제주', '#제주펜션', '#불멍', '#제주도리모델링', '#제주도맛집', '#제주도카페', '#제주도숙소', '#제주도게스트하우스']",2021-08-19,12,
"Saw the red lighthouse as the plane was descending and I told myself I have to go there. Even though there was really nothing there, the waves were veryy calming 💙 and sat there for a few minutes waiting for the sunset...then i ran for my life cause I realized I might not get a bus ride back to my hotel 😂Photo taken by standing my phone infront of my water bottle 😂#제주여행 #힐링타임 #솔로여행","['#제주여행', '#힐링타임', '#솔로여행']",2021-08-19,15,도두등대
.빨주노초파보 🌈쫀득쫀득 꼬끄에 맛있는 필링🤤✨월정 바다와 함께일 때 더 빛이 나는 무지개 수카롱 ❤️🧡💛💚💙💜제주시 구좌읍 해맞이해안로 406 카페콧수염070-4131-8880매일 모든 메뉴 sold-out 되므로 선착순 판매합니다.방문해주신 모든 분들께 감사드립니다#제주도마카롱 #월정리맛집 #성산일출봉맛집 #애월맛집 #제주도 #월정리콧수염 #월정리카페콧수염 #제주카페투어 #제주애견동반카페 #성산맛집 #함덕맛집 #월정 #제주도민맛집 #제주도선물 #제주맛집 #제주여행 #제주도카페 #제주시카페 #제주월정리 #제주카페추천 #월정리카페 #제주 #제주월정리카페 #월정리카페거리 #제주피크닉 #구좌읍맛집 #구좌읍카페 #제주도맛집 #제주카페 #월정리,"['#제주도마카롱', '#월정리맛집', '#성산일출봉맛집', '#애월맛집', '#제주도', '#월정리콧수염', '#월정리카페콧수염', '#제주카페투어', '#제주애견동반카페', '#성산맛집', '#함덕맛집', '#월정', '#제주도민맛집', '#제주도선물', '#제주맛집', '#제주여행', '#제주도카페', '#제주시카페', '#제주월정리', '#제주카페추천', '#월정리카페', '#제주', '#제주월정리카페', '#월정리카페거리', '#제주피크닉', '#구좌읍맛집', '#구좌읍카페', '#제주도맛집', '#제주카페', '#월정리']",2021-08-19,2,
"제주도 흑돼지 특수부위맛집 신산나들목식당흑돼지10가지 특수부위 판매점넓은 홀. 단체석으로도 좋은 곳가격이 저렴해서 부담없이 즐 길 수 있어요.특수부위를 나누어 나열해서 나오며,부위별로 표시해주는 사장님의 센스!구워먹을때도 불판 시계방향으로 돌 에다특수부위 명칭을 적어 놓아주시니 부위별로맛을 음미 할 수 있어 특별한 맛을 보았어요제주 흑돼지 특수부위맛집은 현지인맛집으로 알려져 관광객들이꾸준히 찾아와요진짜진짜 현지인맛집!주소: 제주 서귀포시 성산읍 일주동로 5100전화번호:064-784-4200영업시간 : 매일11:00~21:00 일요일은 오후 2시까지 영업#제주여행 #제주가볼만한곳#제주도흑돼지#제주도흑돼지맛집#제주핫플#서귀포시맛집#성산맛집#성산일출봉맛집#섭지코지맛집#광치기해변맛집#제주서핑#성산카페#성산일출봉카페#우도맛집 #제주흑돼지맛집 #제주여행코스","['#제주여행', '#제주가볼만한곳', '#제주도흑돼지', '#제주도흑돼지맛집', '#제주핫플', '#서귀포시맛집', '#성산맛집', '#성산일출봉맛집', '#섭지코지맛집', '#광치기해변맛집', '#제주서핑', '#성산카페', '#성산일출봉카페', '#우도맛집', '#제주흑돼지맛집', '#제주여행코스']",2021-08-19,0,
"#노고로시 #노고로시토스트 #자두에이드 #청귤에이드..오늘 한림은 앞이 보이지 않을만큼 굵은 장대비가 쏟어졌어요!.비가 그치고 무더위와 코로나도 씻겨갔으면 하는 바람입니다☺️.오늘은 어제 올려드린 공지처럼  3시까지 주문 받구요, 4시에 영업종료합니다..오랜만에 노고로시 토스트 사진을 올려드리네요, 역시나 방문해주신 손님께서 찍어주신 사진이구요🥰늘, 감사합니다...매일 아침마다 오늘은 좋은 뉴스가 들려오길 바라는 마음이네요, 모두가 힘내서 개인 방역수칙 잘 지키며 안전하게 위기를 이겨내요🙏 ..노고로시는 항상 머무시는 모든 분들의 안전을 위해서 노력하고 있습니다. 안내드리는 안전 수칙과, 주의사항을 꼭 숙지해 주시길 바랄게요. 감사합니다...#제주카페 #제주한림카페 #애월카페 #제주카페투어","['#노고로시', '#노고로시토스트', '#자두에이드', '#청귤에이드..오늘', '#제주카페', '#제주한림카페', '#애월카페', '#제주카페투어']",2021-08-19,15,노고로시
